base,winner,cfr_total,vf_total,pr_total,winner_lines,winner_hard,winner_struct,winner_goto,winner_bytecode,winner_ext,cfr_present,vf_present,pr_present
me/ag2s/epublib/browsersupport/NavigationEvent,cfr,-68.16,-65.90,-65.58,133,0,0,0,0,.java,1,1,1
me/ag2s/epublib/browsersupport/NavigationEventListener,cfr,-41.24,-40.12,-40.22,12,0,0,0,0,.java,1,1,1
me/ag2s/epublib/browsersupport/NavigationHistory,cfr,-90.62,-85.30,-89.70,156,0,0,0,0,.java,1,1,1
me/ag2s/epublib/browsersupport/Navigator,cfr,-90.62,-85.40,-89.60,181,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/Author,pr,-58.50,-58.48,-58.56,78,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/Date,pr,-67.44,-64.88,-67.52,101,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/EpubBook,cfr,-106.82,-106.68,-102.86,191,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/EpubResourceProvider,cfr,-45.16,-45.04,-45.12,33,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/FileResourceProvider,cfr,-43.60,-43.48,-43.58,30,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/Guide,pr,-74.98,-69.84,-75.10,105,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/GuideReference,pr,-47.20,-47.04,-47.52,76,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/Identifier,cfr,-69.36,-64.34,-66.94,93,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/LazyResource,cfr,-65.24,-60.00,-64.22,87,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/LazyResourceProvider,cfr,-41.26,-40.18,-40.28,13,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/ManifestItemProperties,cfr,-42.60,-42.46,-42.56,30,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/ManifestItemRefProperties,cfr,-42.50,-42.36,-42.46,25,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/ManifestProperties,cfr,-41.20,-40.12,-40.22,10,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/MediaType,cfr,-55.24,-50.08,-52.74,62,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/MediaTypes,cfr,-74.66,-74.64,-56.10,58,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/Metadata,cfr,-106.84,-106.74,-94.10,217,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/Relator,pr,-54.56,-54.52,-54.60,255,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/Resource,cfr,-75.74,-73.36,-73.20,162,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/ResourceInputStream,cfr,-42.54,-42.44,-42.54,27,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/ResourceReference,cfr,-47.18,-44.50,-47.16,34,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/Resources,pr,-151.22,-149.16,-157.40,245,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/Spine,cfr,-84.84,-79.74,-84.84,117,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/SpineReference,cfr,-44.68,-44.52,-44.62,34,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/TOCReference,cfr,-50.12,-49.98,-49.14,56,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/TableOfContents,vf,-110.34,-113.20,-112.94,185,0,0,0,0,.java,1,1,1
me/ag2s/epublib/domain/TitledResourceReference,cfr,-57.50,-54.80,-57.44,75,0,0,0,0,.java,1,1,1
me/ag2s/epublib/epub/BookProcessor,cfr,-41.28,-40.20,-40.30,14,0,0,0,0,.java,1,1,1
me/ag2s/epublib/epub/BookProcessorPipeline,cfr,-59.78,-59.72,-58.86,64,0,0,0,0,.java,1,1,1
me/ag2s/epublib/epub/DOMUtil,pr,-82.94,-75.44,-85.48,99,0,0,0,0,.java,1,1,1
me/ag2s/epublib/epub/EpubProcessorSupport,cfr,-55.10,-54.94,-54.00,105,0,0,0,0,.java,1,1,1
me/ag2s/epublib/epub/EpubReader,pr,-71.18,-68.56,-71.26,138,0,0,0,0,.java,1,1,1
me/ag2s/epublib/epub/EpubWriter,vf,-67.52,-69.88,-69.10,144,0,0,0,0,.java,1,1,1
